CODPROD_PA;DESCRICAO_PA;MIN;MAX;MEDIA;DENSIDADE_FORMULA;QUANTIDADE;PADRAO_LAUDO;CODPROD_SA;DESCRICAO_SA;PESO_FORMULA;LITRAGEM
171;"PREMIUM ACET SEDA 18L PALHA";1,140;1,163;1,150;1,160;3;"1,10-1,18 (G/CM³))";20,880;18,0;557;"PREMIUM ACET SEDA PALHA - SA"
1611;"ESMALTE SINT BRILHANTE 0,9L PLATINA";0,970;0,981;0,974;0,990;4;"0,95 - 1,00 (G/CM³)";0,891;0,9;1534;"ESMALTE SINT BRILHANTE PLATINA - SA"
2121;"STANDARD FS 18L VERDE LIMAO ";1,310;1,329;1,320;1,320;2;1,30-1,34;23,760;18,0;2092;"STANDARD FS VERDE LIMAO - SA"
2825;"STANDARD FS 18L MARSALLA";1,302;1,302;1,302;1,300;1;"1,32-1,37 G/CM3";23,400;18,0;2795;"STANDARD FS  MARSALLA- SA"
1011;"FIT ACR FS ECONOMICO 3,6L BRANCO NEVE";1,313;1,366;1,339;1,350;22;"1,30- 1,35 G/CM³";4,860;3,6;980;"FIT ACR ECONOMICO  BRANCO NEVE - SA"
2908;"FIT ACR FS ECONOMICO 3,6L MARFIM";1,326;1,355;1,343;1,340;4;1,30-1,35;4,824;3,6;2906;"FIT ACR ECONOMICO MARFIM - SA"
2748;"ECONOMICO FOSCO 18L CASTANHEIRA";1,320;1,320;1,320;1,310;1;"1,32-1,37 G/CM3";23,580;18,0;2720;"ECONOMICO FOSCO CASTANHEIRA - SA"
2820;"STANDARD FS 18L CINZA PRATEADO";1,277;1,310;1,288;1,300;8;"1,25-1,30 G/CM³";23,400;18,0;2792;"STANDARD FS CINZA PRATEADO - SA"
1625;"FUNDO SINTETICO 0,9L CINZA MEDIO";1,240;1,240;1,240;1,211;1;"1,20 - 1,25 (G/CM³)";1,090;0,9;1544;"FUNDO SINTETICO CINZA - SA"
278;"RESINA ACR BA KOKAR 3,6L CINZA";1,046;1,049;1,048;1,025;2;"1,02 - 1,05 G/CM³";3,690;3,6;649;"RESINA ACR BA KOKAR CINZA - SA"
38;"ECONOMICO FOSCO 3,6L CAMURCA";1,330;1,340;1,335;1,340;2;"1,32 - 1,37 (G/CM³)";4,824;3,6;628;"ECONOMICO FOSCO CAMURCA - SA"
2871;"STANDARD FS 3,6L ANOITECER";1,250;1,250;1,250;1,310;1;"1,28-1,35 G/CM³";4,716;3,6;2812;"STANDARD FS ANOITECER - SA"
2120;"STANDARD FS 3,6L BRANCO NEVE";1,338;1,363;1,354;1,360;6;"1,34-1,38 (G/CM³)";4,896;3,6;2091;"STANDARD FS  BRANCO NEVE - SA "
1571;"ESMALTE SINT BRILHANTE 3,6L AZUL FRANCA";0,940;0,958;0,950;0,950;9;"0,94 (G/GM³)";3,420;3,6;1523;"ESMALTE SINT BRILHANTE AZUL FRANCA - SA"
1585;"ESMALTE SINT BRILHANTE 3,6L TABACO";0,957;0,973;0,963;1,020;3;"0,95-0,98 (G/CM³)";3,672;3,6;1536;"ESMALTE SINT BRILHANTE TABACO - SA"
46;"ECONOMICO FOSCO 3,6L VERDE KIWI";1,365;1,365;1,365;1,340;1;"1,32 - 1,37 (G/CM³)";4,824;3,6;636;"ECONOMICO FOSCO VERDE KIWI - SA"
104;"PREMIUM ACET SEDA 3,6L BRANCO NEVE";1,187;1,198;1,192;1,170;4;"1,18-1,24 (G/CM³)";4,212;3,6;498;"PREMIUM ACET SEDA BRANCO NEVE - SA"
1171;"PREMIUM ACET SEDA 3,6L AREIA";1,158;1,161;1,160;1,160;2;"1,15 - 1,18 (G/CM³)";4,176;3,6;1170;"PREMIUM ACET SEDA AREIA - SA"
395;"TINTA PISO KOKAR 3,6L VERDE QUADRA";1,261;1,289;1,278;1,300;4;"1,25 - 1,30 (G/CM³)";4,680;3,6;725;"TINTA PISO KOKAR VERDE QUADRA - SA"
220;"STANDARD SB 18L AREIA";1,150;1,162;1,156;1,180;2;"1,15 - 1,18 G/CM³";21,240;18,0;605;"STANDARD SB AREIA - SA"
3587;"ESMALTE SINT ACETINADO 3,6L BRANCO NEVE";1,191;1,193;1,192;1,200;3;"1,15 - 1,25";4,320;3,6;3583;"ESMALTE SINT ACETINADO BRANCO NEVE - SA"
1637;"ESMALTE SINT BRILHANTE 0,9L BRANCO NEVE";1,040;1,060;1,046;1,050;9;"1,03 - 1,08 (G/CM³)";0,945;0,9;1525;"ESMALTE SINT BRILHANTE BRANCO NEVE - SA"
2841;"STANDARD FS 18L SANHACU";1,328;1,328;1,328;1,350;1;"1,32-1,37 G/CM3";24,300;18,0;2811;"STANDARD FS SANHACU - SA"
14;"ECONOMICO FOSCO 3,6L BRANCO NEVE";1,336;1,373;1,350;1,328;9;"1,32 - 1,37 (G/CM³)";4,780;3,6;494;"ECONOMICO FOSCO BRANCO NEVE - SA"
3231;"PREMIUM SEMIBRILHO 18L ERVA DOCE";1,167;1,167;1,167;1,200;1;1,15-1,18;21,600;18,0;3176;"PREMIUM SEMIBRILHO ERVA DOCEL - SA"
2129;"STANDARD FS 18L AZUL OCEANO";1,220;1,230;1,227;1,300;3;"1,28 - 1,32";23,400;18,0;2096;"STANDARD FS AZUL OCEANO - SA "
1570;"ESMALTE SINT BRILHANTE 3,6L AZUL DEL REY";0,931;0,960;0,943;0,960;4;"0,94 - 1,00 (G/CM³)";3,456;3,6;1522;"ESMALTE SINT BRILHANTE AZUL DEL REY - SA"
969;"MASSA CORRIDA PVA KOKAR 20KG";1,700;1,746;1,723;1,667;32;"1,70-1,75 ( G/CM³)";20,000;12,0;476;"MASSA CORRIDA PVA KOKAR - SA"
1003;"FIT MASSA CORRIDA PVA 5,5KG";1,709;1,750;1,723;1,682;18;"1,70-1,75 (G/CM³)";5,500;3,3;1000;"FIT MASSA CORRIDA PVA - SA"
1859;"TINTA PISO KOKAR 18L CINZA ESCURO";1,238;1,253;1,245;1,250;13;"1,24 - 1,26 G/CM³";22,500;18,0;1858;"TINTA PISO KOKAR CINZA ESCURO - SA"
1135;"FIT FUNDO PREPARADOR DE PAREDES 16L";0,994;1,009;1,001;1,005;6;"1,00 - 1,03 G/CM³";16,080;16,0;1134;"FIT FUNDO PREPARADOR DE PAREDES - SA"
2744;"ECONOMICO FOSCO 18L BARBANTE";1,311;1,324;1,318;1,350;2;1,32-1,37;24,300;18,0;2716;"ECONOMICO FOSCO BARBANTE- SA"
1012;"FIT ACR FS ECONOMICO 3,6L BRANCO GELO";1,330;1,377;1,343;1,345;16;"1,33 - 1,37 G/CM³";4,842;3,6;982;"FIT ACR ECONOMICO  BRANCO GELO - SA"
2858;"STANDARD FS 3,6L BARBANTE";1,320;1,320;1,320;1,350;1;"1,32-1,37 G/CM3";4,860;3,6;2799;"STANDARD FS BARBANTE - SA"
3085;"PREMIUM FOSCO 18L AZUL SERENO";1,245;1,260;1,253;1,300;2;1,28-1,47;23,400;18,0;3044;"PREMIUM FOSCO AZUL SERENO - SA"
2126;"STANDARD FS 3,6L AMARELO SOL ";1,310;1,335;1,323;1,330;2;"1,30-1,34 G/ML";4,788;3,6;2094;"STANDARD FS AMARELO SOL - SA "
2929;"PREMIUM SEMIBRILHO 18L VERMELHO AMOR";1,009;1,009;1,009;1,150;1;1,01-105;20,700;18,0;2927;"PREMIUM SEMIBRILHO VERMELHO AMOR - SA"
2562;"FUNDO E ACABAMENTO 18L PRETO";1,020;1,043;1,025;1,050;6;1,00-1,05;18,900;18,0;2561;"FUNDO E ACABAMENTO PRETO - SA"
2129;"STANDARD FS 18L AZUL OCEANO";1,220;1,230;1,227;1,300;3;"1,22 - 1,28";23,400;18,0;2096;"STANDARD FS AZUL OCEANO - SA "
2957;"STANDARD SB 18L AMAZONITA";1,146;1,146;1,146;1,170;1;"1,18-1,22 G/CM3";21,060;18,0;2901;"STANDARD SB AMAZONITA - SA"
